work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,Executive Level,Full-Time,Head of Data,260000,United States,On-site,United States,M
2024,Senior Level,Full-Time,MLOps Engineer,81250,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,AI Engineer,220000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Engineering Manager,336500,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineering Manager,224300,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Manager,180000,Canada,Remote,Canada,M
2024,Senior Level,Full-Time,Data Manager,113000,Canada,Remote,Canada,M
2024,Senior Level,Full-Time,Machine Learning Engineer,269833,United States,On-site,United States,M
2024,Executive Level,Full-Time,Engineer,410000,United States,On-site,United States,M
2024,Executive Level,Full-Time,Engineer,323000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Manager,195800,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Analyst,180400,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Analyst,138800,United States,On-site,United States,M
2024,Entry Level,Full-Time,Data Analyst,62148,United States,On-site,United States,M
2024,Senior Level,Full-Time,Manager,201825,United States,On-site,United States,M
2024,Senior Level,Full-Time,Manager,134550,United States,On-site,United States,M
2024,Mid Level,Contract,Software Engineer,118000,United States,Remote,United States,M
2024,Mid Level,Contract,Software Engineer,100000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Security Engineer,180000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Scientist,99100,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Analyst,156000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Strategy Manager,191300,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Strategy Manager,100700,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Governance Specialist,149656,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Governance Specialist,94702,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Architect,234300,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Architect,96900,United States,On-site,United States,M
2024,Mid Level,Full-Time,Statistical Programmer,126651,United States,On-site,United States,M
2024,Mid Level,Full-Time,Statistical Programmer,84448,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Product Owner,139260,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Product Owner,101300,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Scientist,254000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Scientist,144800,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Scientist,198650,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Scientist,218700,United States,On-site,United States,M
2024,Executive Level,Full-Time,Data Scientist,234700,United States,On-site,United States,M
2024,Executive Level,Full-Time,Data Scientist,173500,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Scientist,219400,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Scientist,146300,United States,On-site,United States,M
2024,Mid Level,Full-Time,Engineer,214500,United States,On-site,United States,M
